Park Code,Cost,Description,Category
ACAD,30.0,"Admits private, non-commercial vehicle (15 passenger capacity or less) and all occupants. Valid for 7 days. If a vehicle pass is purchased, no other pass is necessary.",Acadia Entrance Fee - Private Vehicle
ACAD,25.0,"Admits one or two passengers on a private, non-commercial motorcycle. Valid for 7 days.",Acadia Entrance Fee - Motorcycle
ACAD,15.0,"Admits one individual with no car (bicyclist, hiker, pedestrian). Youth 15 and under are admitted free of charge. Valid for 7 days.",Acadia Entrance Fee - Per Person
ARCH,30.0,"Admits one private, non-commercial vehicle (15 passenger capacity or less) and all its occupants.",Private Vehicle Fee
ARCH,25.0,"Admits a private, non-commercial motorcycle and its riders.",Motorcycle Fee
ARCH,15.0,"Admits one individual with no car. Typically used for bicyclists, hikers, and pedestrians. Youth 15 and under are admitted free.",Per Person
BADL,25.0,Fee covers the entry of a private vehicle and its occupants for 7 days,Private Vehicle
BADL,12.0,"Fee covers the entry of an individual that is hiking, bicycling, etc... for 7 days","Individual (Hiking, Bicycling, etc...)"
BADL,15.0,Fee covers the entry of a motorcycle and its occupants for 7 days,Motorcycle
BADL,25.0,"Commercial sedan, 1 to 6 passenger capacity.   $25 plus $10 per person - 7 days for Original Manifest","Commercial Sedan, 1 to 6 passenger capacity"
BADL,50.0,"Commercial van, 7 to 15 passenger capacity; $50 - 7 days for Original Manifest","Commercial Van, 7 to 15 passenger capacity"
BADL,60.0,"Minibus, 16 to 25 passenger capacity; $60 - 7 days for Original Manifest","Commercial Minibus, 16 to 25 passenger capacity"
BADL,150.0,"Motorcoach, 26 or more passenger capacity; $150 - 7 days for Original Manifest","Commercial Motorcoach, 26 or more passenger capacity"
BIBE,30.0,"This fee includes all occupants of a private, non-commercial vehicle and is valid for 7 days.",Big Bend Entrance Fee--Per Vehicle
BIBE,25.0,Fee applicable to one motorcycle; valid for 7 days.,Big Bend Entrance Fee--Motorcycle
BIBE,12.0,Fee applicable to one individual walking in or bicycling in and is valid for 7 days.,Big Bend Entrance Fee--Individual
BIBE,25.0,Non-commercial groups with a vehicle capacity of 15 or less pay a per vehicle fee.,Non-commercial groups with vehicle capacity 15 or less
BIBE,12.0,Non-commercial groups with a vehicle capacity of 16 or more pay a $12.00 per person fee. Children 15 and younger are free. Annual and lifetime passes may be used.,Non-commercial groups with vehicle capacity of 16 or more
BIBE,12.0,"$12 per client; passes may not be used. Business is required to obtain commercial use authorization. Bus tours, 25 person capacity or greater, $200 (commercial use authorization not required).",Commercial Group Fee
BISC,0.0,The park has no entrance fees.,No entrance fees.
BLCA,25.0,"Covers all persons in a single, private, noncommercial vehicle and is valid for seven calendar days.",Entrance Fee - per vehicle
BLCA,15.0,Valid for seven calendar days.,Entrance Fee - per pedestrian or bicycle
BLCA,100.0,Bus with 26 or more passenger seating capacity,Entrance Fee - commercial bus
BLCA,40.0,Bus with 7-25 passenger seating capacity,Entrance Fee - commercial bus
BLCA,25.0,Bus with 6 or less passenger seating capacity: $25 plus $7.00 per person,Entrance Fee - commercial bus
BLCA,20.0,Covers up to two people on a single motorcycle and is valid for seven calendar days.,Entrance Fee - per motorcycle
BRCA,35.0,"Admits private, non-commercial vehicle (15 passenger capacity or less) and all occupants to Bryce Canyon National Park. Includes unlimited use of the Shuttle during its operating season.",Private Vehicle - Valid for 7 days
BRCA,20.0,"Admits one individual with no car to Bryce Canyon National Park. Typically used for bicyclists, hikers and pedestrians. Youth 15 and under are admitted free. Includes unlimited use of the Shuttle during its operating season.",Per Person - Valid for 7 days
BRCA,30.0,Admits one non-commercial motorcycle to Bryce Canyon National Park. Includes unlimited use of the Shuttle during its operating season.,Motorcycle - Valid for 7 days
BRCA,30.0,"Vehicle fee of $30 plus a per-person fee of $20 for those 16 years of age and older, not-to-exceed $50.",Road-based Commercial Tour (vehicle up to six seats)
BRCA,50.0,Flat fee.,"Road-based Commercial Tour (vehicle 7-15 seats, regardless of occupancy)"
BRCA,60.0,Flat fee.,"Road-based Commercial Tour (vehicle 16-25 seats, regardless of occupancy)"
BRCA,150.0,Flat fee.,"Road-based Commercial Tour (vehicle 26 or more seats, regardless of occupancy)"
CANY,30.0,"Admits one private, non-commercial vehicle 
(15 passenger capacity or less) and all its occupants.",Private Vehicle
CANY,25.0,"Admits a private, non-commercial motorcycle and its riders.",Motorcycle
CANY,15.0,"Admits one individual with no car. Typically used for bicyclists, hikers, and pedestrians. Youth 15 and under are admitted free.",Per Person
CARE,20.0,"The entrance fee for Capitol Reef National Park is paid into a self-serve tube at the beginning of the Scenic Drive, just past the campground. The cost includes all in a private vehicle.",Capitol Reef Entrance fee - Private Vehicle
CARE,10.0,"The entrance fee for Capitol Reef National Park is paid into a self-serve tube at the beginning of the Scenic Drive, just past the campground.  America the Beautiful Interagency passes cover this entrance fee.",Capitol Reef Entrance Fee - Bicycle and Pedestrian
CARE,100.0,"Buses and commercial vehicles are based on vehicle size/occupants, and is paid at the visitor center.",Capitol Reef Entrance Fee - Commercial vehicles with a seating capacity of 26 seats or greater
CARE,40.0,"Buses and commercial vehicles are based on vehicle size/occupants, and is paid at the visitor center.",Capitol Reef Entrance Fee - Commercial vehicles with a seating capacity of 7-25 seats
CARE,30.0,"Buses and commercial vehicles are based on vehicle size/occupants, and is paid at the visitor center.",Capitol Reef Entrance Fee - Commercial vehicles with a seating capacity of 1-6 seats
CARE,15.0,"The entrance fee for Capitol Reef National Park is paid into a self-serve tube at the beginning of the Scenic Drive, just past the campground. The cost includes all in a private vehicle.",Capitol Reef Entrance fee - Motorcycle
CHIS,0.0,There is no entrance fee to visit the Channel Islands National Park.,Entrance
CONG,0.0,No Entrance Fee,No Entrance Fee
CRLA,15.0,"Admits private, non-commercial vehicle (15 passenger capacity or less) and all occupants.",Car
CRLA,10.0,"Admits one or two passengers on a private, non-commercial motorcycle.",Motorcycle
CRLA,10.0,"Admits one individual with no car (bicyclist, hiker, pedestrian). Youth 15 and under are admitted free of charge.",Bicycle
CRLA,25.0,"Commercial vehicles with a capacity of 1 to 6 passengers are required to pay a $25 entrance fee, plus a $5 passenger fee.

The entrance fee structure for commercial vehicles visiting national parks is based on the capacity of the vehicle you arrive in, not the
number of passengers.",Commercial Vehicles (Capacity of 1 to 6 passengers)
CRLA,75.0,"The entrance fee structure for commercial vehicles visiting national parks is based on the capacity of the vehicle you arrive in, not the
number of passengers.",Commercial Vehicles (Capacity of 7 to 15 passengers)
CRLA,100.0,"The entrance fee structure for commercial vehicles visiting national parks is based on the capacity of the vehicle you arrive in, not the
number of passengers.",Commerical Vehicles (Capacity of 16 to 25 passengers)
CRLA,200.0,"The entrance fee structure for commercial vehicles visiting national parks is based on the capacity of the vehicle you arrive in, not the
number of passengers.",Commercial Vehicles (Capacity of 26 or more passengers)
CRLA,10.0,"Admits one individual with no car (bicyclist, hiker, pedestrian). Youth 15 and under are admitted free of charge.",Pedestrian
CUVA,0.0,There is no entrance fee.,Entrance
DENA,15.0,"Youth age 15 years or younger are free. 

For people age 16 or older: This fee provides the visitor a 7-day entrance permit. It is charged year-round.",Denali Entrance Fee—Per Person
DEVA,30.0,"This permit allows all persons traveling with the permit holder in one single private, non-commercial vehicle (car/truck/van) to leave and re-enter the park as many times as they wish during the 7-day period from the date of purchase.",Death Valley Entrance Fee - per vehicle
DEVA,17.0,"This permit allows a single individual traveling on foot, motorcycle, or bicycle to leave and re-enter the park as many times as they wish during the 7-day period from the date of purchase. If the motorcycle or bicycle has more than one rider, each rider is charged the $10 fee.",Death Valley Entrance Fee - per individual
